MLI,Mali,22301,21030,19522,17876,16245,14864,13497,11802,10236,8722,7448,6818
MLT,Malta,162.7,165.7,165.7,162.2,154.4,146.2,139.3,133.3,129.1,125.3,121.5,120.6
MRT,Mauritania,12538,10837,9360,8097,7020,6113,5327,4604,3951,3425,3018,2802
MUS,Mauritius,3940,3505,3227,2983,2782,2671,2540,2384,2289,2231,2187,2161
MEX,Mexico,11363,9739,8326,7179,6367,5733,5183,4717,4375,4083,3784,3637
MNG,Mongolia,34421,29668,25645,22279,19573,17118,15508,14897,14239,13421,12393,11761
MAR,Morocco,2214,1936,1732,1552,1376,1231,1121,1038,981.9,935.2,879.2,843.6
MOZ,Mozambique,27837,25043,22428,19733,17351,16518,15284,12867,11220,9709,8437,7760
MMR,Myanmar,52034,46316,40958,36351,32355,29196,27083,25449,23988,23038,22229,21671
NAM,Namibia,63079,55539,48096,42024,37758,32005,26361,22702,20383,19160,17413,16230
NPL,Nepal,20256,18590,16832,15107,13478,12031,10634,9386,8574,8065,7643,7372
NLD,Netherlands,7754,7265,6874,6581,6384,6218,6015,5820,5661,5528,5433,5377
NZL,New Zealand,132015,120932,111604,104707,102540,98792,93349,87154,82534,77159,73715,72201
NIC,Nicaragua,87175,75114,64510,55313,47875,42364,37982,34364,31806,29790,27990,27047
NER,Niger,9466,8217,7164,6218,5406,4708,4033,3385,2820,2344,1931,1711
NGA,Nigeria,6074,5455,4865,4245,3682,3237,2845,2511,2214,1945,1701,1571
NOR,Norway,107997,103831,99924,97229,95667,93997,91694,89055,86621,83316,78318,75417
PSE,Occupied Palestinian Territory,741.4,718.5,709.3,598.7,523.1,445.4,366,291.4,247.6,222.9,194.7,179.3
OMN,Oman,2419,2121,1803,1432,1085,863.7,707.1,628.4,602.7,539.7,394.9,311.7
PAK,Pakistan,5237,4605,4023,3478,2958,2511,2172,1915,1711,1545,1391,1306
PAN,Panama,115890,99928,86629,75789,67165,60095,54097,48826,44293,40518,37206,35454
PNG,Papua New Guinea,393225,354582,310947,269879,235866,207245,183337,161199,141695,125411,111950,105132
PRY,Paraguay,193416,169345,149326,132129,115177,99820,87480,77871,70394,65002,60793,58412
PER,Peru,176509,153070,133599,117054,103149,91923,82685,75724,70674,66448,62336,59916
PHL,Philippines,17058,14592,12630,10974,9567,8358,7360,6558,5892,5384,4989,4757
POL,Poland,1982,1886,1815,1740,1657,1598,1576,1568,1573,1571,1567,1567
PRT,Portugal,8680,8822,8789,8198,7840,7809,7784,7618,7470,7336,7361,7478
PRI,Puerto Rico,2907,2696,2548,2338,2172,2071,1979,1895,1871,1899,1921,1928
QAT,Qatar,1032,673.2,444.8,318,209.2,137,118.4,109.8,91.42,49.19,28.77,25.95
KOR,Republic of Korea,2631,2354,2128,1945,1803,1676,1595,1539,1490,1446,1405,1386
MDA,Republic of Moldova,N/A,N/A,N/A,N/A,N/A,N/A,2805,2863,2938,2972,3011,3015
ROU,Romania,11203,10701,10089,9600,9281,9094,9070,9367,9702,10105,10629,10866
RUS,Russian Federation,N/A,N/A,N/A,N/A,N/A,N/A,30508,30621,31165,31604,31580,31543
RWA,Rwanda,4359,3891,3338,2861,2424,1973,1981,2044,1558,1403,1230,1146
KNA,Saint Kitts and Nevis,470.9,506.5,541.4,546.1,561.3,580.4,580.3,546.9,511.3,475.5,447.3,431.9
LCA,Saint Lucia,3258,3014,2817,2660,2475,2290,2114,1987,1873,1763,1658,1622
VCT,Saint Vincent and the Grenadines,1202,1140,1081,1024,978.5,944.3,925.9,925.9,924.2,917.4,914.9,913.2
STP,Sao Tome and Principe,33835,32120,28115,24931,22089,20317,18412,16756,15234,13616,12213,11456
SAU,Saudi Arabia,550.1,461.9,376.1,289.3,213.4,163.9,137.9,121.2,105.9,92.01,81.37,76.09
SEN,Senegal,11612,10088,8689,7552,6619,5692,4877,4253,3751,3276,2828,2576
SRB,Serbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17766,18056,18326
SLE,Sierra Leone,71429,66667,61397,55421,49628,43455,40723,41634,36183,29679,26477,24795
SGP,Singapore,344.4,306,278.7,258.8,238.1,212.5,187.9,164.2,145.1,126.8,113.2,107.1
SVK,Slovakia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9316,9304,9292,9250,9233
SVN,Slovenia,N/A,N/A,N/A,N/A,N/A,N/A,15887,16031,16031,15801,15448,15411
SLB,Solomon Islands,357314,307428,258980,215007,181339,155803,135455,117663,102782,90835,81391,76594
SOM,Somalia,5113,4555,4212,3092,2344,2395,2336,2203,1878,1650,1465,1363
ZAF,South Africa,2803,2464,2163,1901,1678,1490,1329,1196,1110,1033,971.9,942.4
SSD,South Sudan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4508,4011
ESP,Spain,3583,3392,3213,3039,2918,2863,2830,2788,2667,2466,2391,2418
LKA,Sri Lanka,5094,4528,4061,3699,3406,3171,2976,2857,2770,2665,2585,2549
SDN,Sudan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1002,939.5
SUR,Suriname,323213,282212,266631,274238,271978,257880,233711,214471,203578,197605,187323,182320
